year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1994,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.8,22.7,0.1
1994,full-time,manufacturing,paper products and publishing,paper products and publishing,49.6,42.6,7
1994,part-time,manufacturing,paper products and publishing,paper products and publishing,23,22.8,0.2
1994,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.6,42.9,5.8
1994,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,26,24.4,1.6
1994,full-time,manufacturing,rubber and plastic products,rubber and plastic products,51.1,43.7,7.4
1994,part-time,manufacturing,rubber and plastic products,rubber and plastic products,25,23.3,1.7
1994,full-time,manufacturing,fabricated metal products,fabricated metal products,51.5,43.4,8.1
1994,part-time,manufacturing,fabricated metal products,fabricated metal products,21.5,20.7,0.8
1994,full-time,manufacturing,machinery and equipment,machinery and equipment,51.1,43.5,7.6
1994,part-time,manufacturing,machinery and equipment,machinery and equipment,22.9,22.6,0.3
1994,full-time,manufacturing,electrical products,electrical products,50.9,43.4,7.4
1994,part-time,manufacturing,electrical products,electrical products,26.5,25.3,1.3
1994,full-time,manufacturing,electronic products,electronic products,48.3,42.2,6.1
1994,part-time,manufacturing,electronic products,electronic products,22.8,21.7,1
1994,full-time,manufacturing,medical and precision instruments,medical and precision instruments,47.4,42.3,5.1
1994,part-time,manufacturing,medical and precision instruments,medical and precision instruments,21.8,20.9,0.9
1994,full-time,manufacturing,transport equipment,transport equipment,52.7,43.9,8.7
1994,part-time,manufacturing,transport equipment,transport equipment,17.7,17.4,0.3
1994,full-time,manufacturing,other manufacturing industries,other manufacturing industries,50.7,43.8,6.8
1994,part-time,manufacturing,other manufacturing industries,other manufacturing industries,22.6,22.4,0.2
1994,full-time,construction,construction,construction,51,44.9,6.2
1994,part-time,construction,construction,construction,21.2,21,0.2
1994,full-time,services,wholesale and retail trade,wholesale trade,44.4,42.3,2.1
1994,part-time,services,wholesale and retail trade,wholesale trade,23.6,23.3,0.3
1994,full-time,services,wholesale and retail trade,retail trade,46.1,43.3,2.8
1994,part-time,services,wholesale and retail trade,retail trade,24.6,24.3,0.3
1994,full-time,services,hotels and restaurants,hotels,45.9,43.8,2.1
1994,part-time,services,hotels and restaurants,hotels,23.2,21.4,1.8
1994,full-time,services,hotels and restaurants,restaurants,45.3,43.9,1.3
